DHT_TEMP_C,DHT_RH,BME_TEMP_C,BME_RH,Pressure_hPa,RH_ERROR(Target)
26,86,25.9,80.99,1007.26,5.01
26,86,25.9,80.91,1007.28,5.09
26,85.9,25.94,80.89,1007.32,5.01
26,85.8,25.97,80.79,1007.32,5.01
26,85.7,26.01,80.55,1007.31,5.15
26,85.6,26.05,80.37,1007.28,5.23
26,85.7,26.07,80.25,1007.35,5.45
26,85.5,26.09,80.19,1007.31,5.31
26.1,85.5,26.1,80.15,1007.36,5.35
26,85.6,26.09,80.13,1007.35,5.47
26.1,85.5,26.09,80.13,1007.34,5.37
26.1,85.6,26.09,80.14,1007.36,5.46
26.1,85.5,26.08,80.17,1007.3,5.33
26.1,85.5,26.08,80.19,1007.33,5.31
26.1,85.5,26.08,80.23,1007.33,5.27
26.1,85.5,26.06,80.23,1007.3,5.27
26.1,85.2,26.05,80.27,1007.33,4.93
26.1,85.2,26.04,80.3,1007.32,4.9
26.1,85.3,26.04,80.34,1007.32,4.96
26.1,85.4,26.04,80.38,1007.35,5.02
26.1,85.3,26.02,80.39,1007.31,4.91
26.1,85.3,26.02,80.42,1007.34,4.88
26.1,85.4,26.02,80.43,1007.34,4.97
26.1,85.4,26.01,80.46,1007.33,4.94
26.1,85.3,26.01,80.51,1007.29,4.79
26.1,85.3,26.01,80.52,1007.31,4.78
26.1,85.3,26.02,80.51,1007.31,4.79
26.2,85.2,26.02,80.48,1007.34,4.72
26.1,85.3,26.02,80.51,1007.32,4.79
26.1,85.2,26.02,80.54,1007.34,4.66
26.1,85.2,26.02,80.58,1007.36,4.62
26.2,85.2,26.02,80.55,1007.33,4.65
26.2,85.2,26.01,80.53,1007.33,4.67
26.2,85.2,26.01,80.51,1007.32,4.69
26.2,85.1,26.02,80.52,1007.3,4.58
26.2,85.1,26.01,80.54,1007.3,4.56
26.2,85.2,26.02,80.58,1007.28,4.62
26.2,85.2,26.03,80.56,1007.31,4.64
26.2,85.2,26.03,80.54,1007.31,4.66
26.2,85.3,26.02,80.61,1007.34,4.69
26.2,85.1,26.02,80.62,1007.3,4.48
26.2,85.1,26.03,80.59,1007.34,4.51
26.2,85,26.04,80.59,1007.32,4.41
26.2,85.2,26.05,80.57,1007.32,4.63
26.2,85.1,26.05,80.5,1007.27,4.6
26.2,85,26.05,80.48,1007.28,4.52
26.2,85.1,26.06,80.5,1007.29,4.6
26.2,85,26.06,80.5,1007.3,4.5
26.2,85.1,26.06,80.49,1007.3,4.61
26.2,84.9,26.05,80.52,1007.28,4.38
26.2,85,26.04,80.52,1007.27,4.48
26.2,84.9,26.05,80.51,1007.27,4.39
26.3,84.9,26.07,80.48,1007.33,4.42
26.2,84.9,26.07,80.45,1007.29,4.45
26.3,84.8,26.05,80.44,1007.26,4.36
26.2,85,26.04,80.43,1007.27,4.57
26.3,84.8,26.03,80.43,1007.25,4.37
26.3,84.8,26.04,80.44,1007.23,4.36
26.3,84.8,26.05,80.44,1007.26,4.36
26.3,84.8,26.04,80.38,1007.25,4.42
26.3,84.8,26.04,80.41,1007.25,4.39
26.3,84.9,26.04,80.44,1007.24,4.46
26.3,85,26.04,80.44,1007.21,4.56
26.3,84.9,26.03,80.44,1007.26,4.46
26.3,84.9,26.03,80.5,1007.25,4.4
26.3,84.9,26.05,80.48,1007.27,4.42
26.3,84.8,26.05,80.46,1007.23,4.34
26.3,84.8,26.05,80.44,1007.27,4.36
26.3,84.8,26.04,80.44,1007.22,4.36
26.3,85.5,26.06,81.17,1007.21,4.33
26.3,85.3,26.08,81.01,1007.26,4.29
26.3,85.1,26.08,80.75,1007.24,4.35
26.3,84.9,26.07,80.59,1007.22,4.31
26.3,84.8,26.07,80.48,1007.22,4.32
26.3,84.9,26.06,80.47,1007.18,4.43
26.3,85,26.07,80.48,1007.21,4.52
26.3,84.7,26.07,80.42,1007.22,4.28
26.4,84.9,26.07,80.36,1007.25,4.54
26.3,84.3,26.06,79.99,1007.25,4.31
26.3,84.3,26.03,79.48,1007.23,4.82
26.4,84.2,26.04,79.45,1007.23,4.75
26.4,84.2,26.08,80.43,1007.22,3.77
26.3,84.2,26.08,80.14,1007.21,4.06
26.3,84.5,26.09,80.11,1007.17,4.39
26.4,84.1,26.11,80.29,1007.2,3.81
26.3,84.5,26.11,80.28,1007.22,4.22
26.4,84.5,26.11,80.34,1007.18,4.16
26.3,84.5,26.11,80.28,1007.22,4.22
26.3,84.3,26.11,80.26,1007.2,4.04
26.3,84.3,26.11,80.24,1007.25,4.06
26.3,84.4,26.1,80.12,1007.18,4.28
26.4,84.4,26.1,80.13,1007.24,4.27
26.4,84.4,26.1,80.19,1007.2,4.21
26.3,84.5,26.1,80.19,1007.23,4.31
26.3,84.5,26.1,80.28,1007.22,4.22
26.4,84.3,26.11,80.12,1007.21,4.18
26.4,84.3,26.11,80.03,1007.2,4.27
26.3,84.3,26.1,80.06,1007.24,4.24
26.3,84.2,26.1,80.07,1007.24,4.13
26.4,84.3,26.11,79.9,1007.23,4.4
26.4,84.3,26.11,80.02,1007.22,4.28
26.4,84.3,26.11,80.04,1007.22,4.26
26.4,84.4,26.12,80.04,1007.23,4.36
28.1,83.9,27.97,79.45,1007.25,4.45
28.1,83.8,28,79.3,1007.23,4.5
28.2,83.6,28,79.18,1007.22,4.42
28.2,83.6,28.02,79.14,1007.26,4.46
28.2,83.5,28,79.14,1007.23,4.36
28.2,83.1,28.01,79.01,1007.25,4.09
28.2,83.1,28,79.02,1007.18,4.08
28.2,83.1,28.01,78.96,1007.2,4.14
28.2,83,27.99,78.91,1007.13,4.09
28.2,83.2,27.96,79.06,1007.19,4.14
28.2,83.3,27.93,79.11,1007.17,4.19
28.2,83.2,27.91,79.16,1007.18,4.04
28.2,83.4,27.89,79.2,1007.11,4.2
28.2,83.2,27.87,79.24,1007.12,3.96
28.2,83.2,27.86,79.27,1007.12,3.93
28.2,83.3,27.84,79.32,1007.12,3.98
28.2,82.9,27.84,79.31,1007.08,3.59
28.2,83.1,27.82,79.32,1007.03,3.78
28.2,83.2,27.8,79.34,1007.07,3.86
28.2,82.9,27.8,79.37,1007.03,3.53
28.2,82.9,27.78,79.4,1007.03,3.5
28.1,83.1,27.76,79.41,1007.01,3.69
28.2,83.2,27.75,79.41,1006.97,3.79
28.2,83.1,27.74,79.43,1007,3.67
28.2,83.1,27.74,79.43,1007,3.67
28.1,83.2,27.73,79.44,1006.97,3.76
28.1,83.2,27.73,79.41,1006.93,3.79
28.1,83.1,27.73,79.45,1006.95,3.65
28.2,83.3,27.73,79.45,1006.94,3.85
28.1,83.3,27.73,79.45,1006.9,3.85
28.1,83.3,27.73,79.44,1006.95,3.86
28.2,83.5,27.74,79.45,1006.93,4.05
28.1,83.4,27.75,79.45,1006.94,3.95
28.1,83.4,27.75,79.45,1006.95,3.95
28.1,83.2,27.75,79.42,1006.9,3.78
28.1,83.1,27.74,79.42,1006.91,3.68
28.2,83.2,27.74,79.42,1006.87,3.78
27.9,84.1,27.5,80.44,1006.89,3.66
28,83.6,27.63,79.84,1006.88,3.76
28.1,83.1,27.66,79.64,1006.97,3.46
28.1,83.2,27.67,79.58,1006.91,3.62
28.2,82.9,27.68,79.52,1006.92,3.38
28.2,82.9,27.68,79.48,1006.93,3.42
28.2,82.8,27.68,79.46,1006.9,3.34
28.2,82.7,27.69,79.45,1006.93,3.25
28.2,82.8,27.69,79.43,1006.9,3.37
28.2,82.6,27.68,79.42,1006.91,3.18
28.2,82.5,27.69,79.41,1006.92,3.09
28.2,82.7,27.69,79.41,1006.96,3.29
28.2,82.9,27.68,79.38,1006.98,3.52
28.2,82.7,27.69,79.38,1006.94,3.32
28.2,82.6,27.69,79.38,1006.98,3.22
28.2,82.5,27.69,79.36,1006.97,3.14
28.2,82.7,27.69,79.36,1007.01,3.34
28.2,82.7,27.68,79.37,1006.92,3.33
28.2,82.5,27.69,79.36,1007,3.14
28.2,82.6,27.69,79.37,1006.99,3.23
28.2,82.6,27.69,79.36,1007,3.24
28.2,82.5,27.68,79.35,1006.96,3.15
28.2,82.6,27.69,79.36,1006.98,3.24
28.3,82.6,27.69,79.36,1006.94,3.24
28.2,82.6,27.68,79.36,1006.95,3.24
28.2,82.6,27.68,79.36,1006.99,3.24
28.2,82.6,27.68,79.36,1006.97,3.24
28.3,82.6,27.68,79.36,1006.96,3.24
28.2,82.7,27.68,79.36,1006.96,3.34
28.2,82.6,27.68,79.36,1006.98,3.24
28.2,82.7,27.68,79.36,1006.96,3.34
28.2,82.6,27.68,79.36,1006.97,3.24
28.3,82.6,27.68,79.36,1006.96,3.24
28.2,82.7,27.68,79.35,1006.92,3.35
28.2,82.7,27.68,79.36,1006.95,3.34
28.2,82.8,27.68,79.36,1007,3.44
28.2,82.7,27.68,79.36,1006.94,3.34
28.2,82.7,27.68,79.33,1006.98,3.37
28.2,82.6,27.68,79.36,1006.97,3.24
28.2,82.6,27.68,79.36,1006.96,3.24
28.2,82.6,27.68,79.36,1006.95,3.24
28.2,82.6,27.69,79.36,1006.96,3.24
28.2,82.4,27.68,79.35,1006.95,3.05
28.2,82.5,27.68,79.35,1006.97,3.15
28.2,82.5,27.68,79.35,1006.91,3.15
28.2,82.6,27.68,79.35,1006.89,3.25
28.2,82.5,27.68,79.35,1006.93,3.15
28.2,82.4,27.68,79.35,1006.97,3.05
28.2,82.5,27.67,79.35,1006.93,3.15
28.2,82.5,27.68,79.35,1006.95,3.15
28.2,82.6,27.68,79.35,1006.95,3.25
28.2,82.5,27.68,79.36,1006.91,3.14
28.2,82.6,27.68,79.37,1006.93,3.23
28.2,82.6,27.68,79.36,1006.95,3.24
28.2,82.6,27.68,79.35,1006.94,3.25
28.2,82.6,27.68,79.36,1006.93,3.24
28.2,82.6,27.68,79.33,1006.95,3.27
28.2,82.6,27.68,79.35,1006.92,3.25
28.2,82.6,27.68,79.36,1006.9,3.24
28.3,82.6,27.68,79.36,1006.92,3.24
28.2,82.7,27.68,79.35,1006.92,3.35
28.2,82.6,27.68,79.35,1006.93,3.25
28.2,82.6,27.68,79.36,1006.93,3.24
28.2,82.6,27.68,79.36,1006.91,3.24
28.2,82.6,27.68,79.35,1006.9,3.25
28.2,82.5,27.68,79.35,1006.93,3.15
28.2,82.6,27.68,79.35,1006.92,3.25
28.2,82.7,27.68,79.35,1006.92,3.35
28.3,82.6,27.68,79.36,1006.91,3.24
28.2,82.6,27.68,79.35,1006.9,3.25
28.2,82.6,27.68,79.35,1006.87,3.25
28.2,82.3,27.68,79.37,1006.92,2.93
28.2,82.3,27.68,79.35,1006.9,2.95
28.2,82.3,27.68,79.35,1006.88,2.95
28.3,82.2,27.68,79.35,1006.91,2.85
28.2,82.2,27.67,79.33,1006.88,2.87
28.2,82.2,27.68,79.35,1006.92,2.85
28.2,82.2,27.68,79.33,1006.9,2.87
28.2,82.3,27.67,79.33,1006.9,2.97
28.2,82.4,27.67,79.34,1006.86,3.06
28.2,82.5,27.67,79.34,1006.89,3.16
28.2,82.5,27.67,79.34,1006.88,3.16
28.2,82.5,27.67,79.38,1006.89,3.12
28.2,82.5,27.67,79.36,1006.9,3.14
28.2,82.5,27.67,79.35,1006.92,3.15
28.2,82.4,27.67,79.36,1006.9,3.04
28.2,82.5,27.67,79.36,1006.88,3.14
28.2,82.4,27.67,79.36,1006.9,3.04
28.2,82.5,27.67,79.36,1006.9,3.14
28.2,82.5,27.67,79.36,1006.82,3.14
28.2,82.5,27.67,79.36,1006.84,3.14
28.2,82.5,27.67,79.36,1006.87,3.14
28.2,82.5,27.67,79.36,1006.85,3.14
28.2,82.6,27.67,79.36,1006.86,3.24
28.2,82.6,27.67,79.37,1006.85,3.23
28.2,82.5,27.67,79.34,1006.86,3.16
28.2,82.7,27.67,79.36,1006.84,3.34
28.2,82.7,27.67,79.36,1006.86,3.34
28.2,82.6,27.67,79.36,1006.85,3.24
28.2,82.7,27.67,79.36,1006.84,3.34
28.2,82.7,27.67,79.37,1006.83,3.33
28.3,82.6,27.67,79.36,1006.82,3.24
28.2,82.7,27.68,79.39,1006.86,3.31
28.2,82.7,27.67,79.36,1006.88,3.34
28.2,82.6,27.67,79.36,1006.86,3.24
28.2,82.6,27.67,79.37,1006.86,3.23
28.2,82.5,27.67,79.36,1006.82,3.14
28.2,82.6,27.67,79.36,1006.82,3.24
28.2,82.6,27.67,79.36,1006.87,3.24
28.2,82.6,27.68,79.35,1006.84,3.25
28.2,82.7,27.68,79.36,1006.83,3.34
28.2,82.7,27.68,79.36,1006.84,3.34
28.2,82.7,27.68,79.36,1006.83,3.34
28.2,82.7,27.68,79.36,1006.84,3.34
28.2,82.8,27.67,79.36,1006.83,3.44
28.2,82.8,27.67,79.36,1006.82,3.44
28.2,82.8,27.68,79.66,1006.85,3.14
28.2,83.4,27.7,79.63,1006.82,3.77
28.3,83.8,27.7,79.5,1006.8,4.3
28.2,84.6,27.78,80.45,1006.82,4.15
28.2,84.2,27.79,79.55,1006.8,4.65
28.3,83.7,27.78,79.54,1006.83,4.16
28.2,83.6,27.77,79.49,1006.8,4.11
28.3,83.4,27.77,79.45,1006.83,3.95
28.2,83.3,27.77,79.44,1006.83,3.86
28.2,83.2,27.76,79.44,1006.8,3.76
27.6,86.1,27.26,81.77,1006.62,4.33
27.6,85.9,27.3,81.6,1006.63,4.3
27.6,85.8,27.33,81.49,1006.61,4.31
27.6,85.5,27.34,81.4,1006.64,4.1
27.6,85.5,27.37,81.32,1006.64,4.18
27.7,85.4,27.38,81.26,1006.62,4.14
27.7,85.3,27.39,81.19,1006.64,4.11
27.7,85.2,27.4,81.15,1006.62,4.05
27.7,85.2,27.41,81.1,1006.64,4.1
27.7,85.1,27.42,81.05,1006.59,4.05
27.7,85,27.43,81.01,1006.66,3.99
27.7,85,27.45,80.98,1006.6,4.02
27.8,84.9,27.46,80.94,1006.61,3.96
27.8,84.8,27.46,80.92,1006.64,3.88
27.8,84.9,27.47,80.89,1006.64,4.01
27.7,84.8,27.47,80.87,1006.64,3.93
27.8,84.9,27.48,80.84,1006.59,4.06
27.8,84.6,27.49,80.8,1006.59,3.8
27.8,84.7,27.49,80.78,1006.63,3.92
27.8,84.6,27.5,80.76,1006.63,3.84
27.8,84.6,27.5,80.74,1006.62,3.86
27.8,84.6,27.5,80.7,1006.61,3.9
27.9,84.6,27.51,80.69,1006.65,3.91
27.8,84.6,27.51,80.68,1006.63,3.92
27.9,84.5,27.52,80.66,1006.63,3.84
27.8,84.4,27.53,80.64,1006.67,3.76
27.9,84.5,27.52,80.62,1006.6,3.88
27.9,84.6,27.53,80.61,1006.62,3.99
27.9,84.4,27.53,80.57,1006.63,3.83
27.9,84.4,27.53,80.59,1006.66,3.81
27.9,84.3,27.54,80.57,1006.64,3.73
27.9,84.3,27.54,80.57,1006.66,3.73
27.9,84.4,27.54,80.55,1006.65,3.85
27.9,84.2,27.54,80.55,1006.65,3.65
27.9,84.3,27.55,80.52,1006.59,3.78
27.9,84.3,27.55,80.51,1006.63,3.79
27.9,84.3,27.55,80.5,1006.66,3.8
27.9,84.2,27.55,80.48,1006.63,3.72
27.9,84.2,27.56,80.47,1006.65,3.73
27.9,84.2,27.56,80.46,1006.61,3.74
27.9,84.2,27.56,80.44,1006.66,3.76
27.9,84.1,27.56,80.44,1006.65,3.66
27.9,84.3,27.56,80.42,1006.67,3.88
28,84.1,27.57,80.42,1006.64,3.68
28,84.1,27.57,80.41,1006.63,3.69
28,84.2,27.57,80.41,1006.66,3.79
28,84.2,27.58,80.4,1006.62,3.8
28,84.2,27.58,80.4,1006.66,3.8
28,84.1,27.58,80.39,1006.61,3.71
28,84,27.57,80.38,1006.66,3.62
28,84.1,27.58,80.38,1006.65,3.72
28,84,27.58,80.37,1006.64,3.63
28,84,27.58,80.36,1006.68,3.64
28,84,27.58,80.36,1006.64,3.64
28,84,27.58,80.35,1006.67,3.65
28,84,27.59,80.35,1006.65,3.65
28,83.9,27.59,80.34,1006.67,3.56
28,83.9,27.58,80.32,1006.65,3.58
28,83.9,27.59,80.31,1006.64,3.59
28,83.9,27.59,80.32,1006.7,3.58
28,84,27.59,80.3,1006.66,3.7
28,84,27.59,80.3,1006.67,3.7
28,83.9,27.59,80.3,1006.66,3.6
28,83.9,27.59,80.29,1006.68,3.61
28,83.8,27.59,80.29,1006.62,3.51
28,83.9,27.6,80.29,1006.63,3.61
28,83.9,27.59,80.28,1006.64,3.62
28,83.9,27.59,80.29,1006.64,3.61
28,83.9,27.6,80.27,1006.65,3.63
28,83.9,27.6,80.27,1006.69,3.63
28,83.9,27.6,80.26,1006.66,3.64
28,84,27.6,80.25,1006.67,3.75
28,83.9,27.6,80.25,1006.64,3.65
28,83.9,27.6,80.25,1006.66,3.65
28,83.9,27.6,80.24,1006.69,3.66
28,83.7,27.6,80.24,1006.63,3.46
28,83.8,27.6,80.22,1006.65,3.58
28,83.8,27.6,80.22,1006.68,3.58
28,83.9,27.6,80.26,1006.65,3.64
28.1,83.8,27.61,80.21,1006.66,3.59
28,83.8,27.61,80.2,1006.67,3.6
28,83.8,27.61,80.2,1006.65,3.6
28,83.9,27.61,80.2,1006.67,3.7
28.1,83.8,27.61,80.2,1006.62,3.6
28.1,83.7,27.61,80.2,1006.66,3.5
28,83.8,27.61,80.19,1006.67,3.61
28,83.6,27.61,80.19,1006.67,3.41
28,83.8,27.62,80.19,1006.69,3.61
28,83.8,27.62,80.19,1006.66,3.61
28,83.7,27.61,80.18,1006.7,3.52
28,83.7,27.62,80.17,1006.67,3.53
28,83.8,27.61,80.17,1006.68,3.63
28.1,83.7,27.62,80.17,1006.65,3.53
28.1,83.7,27.62,80.17,1006.67,3.53
28.1,83.6,27.62,80.16,1006.68,3.44
28.1,83.8,27.62,80.16,1006.68,3.64
28.1,83.8,27.62,80.17,1006.69,3.63
28.1,83.8,27.62,80.16,1006.66,3.64
28,83.8,27.62,80.14,1006.63,3.66
28.1,83.6,27.62,80.14,1006.67,3.46
28.1,83.6,27.62,80.14,1006.67,3.46
28,83.6,27.62,80.14,1006.64,3.46
28.1,83.5,27.62,80.14,1006.67,3.36
28.1,83.6,27.62,80.14,1006.66,3.46
28.1,83.6,27.62,80.15,1006.66,3.45
28,83.7,27.62,80.13,1006.67,3.57
28.1,83.7,27.62,80.13,1006.62,3.57
28,83.7,27.62,80.14,1006.68,3.56
28.1,83.6,27.62,80.13,1006.68,3.47
28,83.7,27.63,80.13,1006.65,3.57
28.1,83.7,27.62,80.12,1006.66,3.58
28.1,83.6,27.62,80.12,1006.64,3.48
28.1,83.6,27.63,80.13,1006.66,3.47
28.1,83.7,27.63,80.12,1006.66,3.58
28.1,83.6,27.63,80.12,1006.68,3.48
28,83.6,27.63,80.12,1006.64,3.48
28.1,83.7,27.63,80.12,1006.65,3.58
28.1,83.7,27.63,80.12,1006.67,3.58
28.1,83.6,27.63,80.11,1006.65,3.49
28.1,83.6,27.63,80.12,1006.66,3.48
28.1,83.6,27.63,80.12,1006.65,3.48
28.1,83.6,27.63,80.12,1006.66,3.48
28.1,83.6,27.63,80.12,1006.67,3.48
28.1,83.6,27.63,80.12,1006.63,3.48
28.1,83.6,27.63,80.12,1006.68,3.48
28.1,83.6,27.62,80.11,1006.64,3.49
28.1,83.6,27.63,80.12,1006.65,3.48
28.1,83.5,27.63,80.11,1006.69,3.39
28.1,83.6,27.63,80.11,1006.68,3.49
28.1,83.6,27.63,80.11,1006.63,3.49
28.1,83.6,27.63,80.11,1006.64,3.49
28.1,83.5,27.63,80.12,1006.68,3.38
28.1,83.5,27.63,80.11,1006.66,3.39
28.1,83.5,27.63,80.12,1006.66,3.38
28.1,83.6,27.63,80.12,1006.65,3.48
28.1,83.6,27.63,80.11,1006.67,3.49
28.1,83.5,27.64,80.11,1006.69,3.39
28.1,83.5,27.63,80.11,1006.67,3.39
28.1,83.5,27.63,80.11,1006.67,3.39
28.1,83.5,27.63,80.11,1006.63,3.39
28.1,83.6,27.63,80.11,1006.66,3.49
28.1,83.6,27.63,80.1,1006.64,3.5
28.1,83.5,27.64,80.1,1006.64,3.4
28.1,83.5,27.63,80.1,1006.67,3.4
28.1,83.5,27.63,80.1,1006.66,3.4
28.1,83.6,27.63,80.09,1006.65,3.51
28.1,83.7,27.63,80.09,1006.61,3.61
28.1,83.5,27.63,80.1,1006.63,3.4
28.1,83.5,27.63,80.09,1006.6,3.41
28.1,83.5,27.64,80.09,1006.64,3.41
28.1,83.5,27.63,80.09,1006.58,3.41
28.1,83.5,27.64,80.09,1006.64,3.41
28.1,83.6,27.64,80.09,1006.62,3.51
28.1,83.6,27.64,80.07,1006.59,3.53
28.1,83.4,27.64,80.08,1006.64,3.32
28.1,83.5,27.64,80.09,1006.61,3.41
28.1,83.5,27.64,80.09,1006.61,3.41
28.2,83.4,27.64,80.09,1006.56,3.31
28.1,83.5,27.64,80.09,1006.56,3.41
28.1,83.4,27.64,80.09,1006.62,3.31
28.1,83.6,27.64,80.09,1006.57,3.51
28.1,83.5,27.64,80.08,1006.62,3.42
28.1,83.5,27.64,80.09,1006.62,3.41
28.1,83.5,27.64,80.08,1006.6,3.42
28.1,83.6,27.64,80.08,1006.6,3.52
28.1,83.5,27.64,80.08,1006.61,3.42
28.1,83.5,27.64,80.09,1006.58,3.41
28.1,83.4,27.63,80.08,1006.58,3.32
28.1,83.5,27.64,80.08,1006.61,3.42
28.1,83.4,27.64,80.08,1006.58,3.32
28.1,83.5,27.64,80.08,1006.55,3.42
28.1,83.5,27.64,80.08,1006.56,3.42
28.1,83.5,27.64,80.08,1006.6,3.42
28.1,83.7,27.64,80.08,1006.55,3.62
28.1,83.5,27.64,80.08,1006.55,3.42
28.1,83.5,27.64,80.08,1006.57,3.42
28.1,83.6,27.64,80.08,1006.58,3.52
26.9,85,26.78,80.46,1006.7,4.54
26.8,85,26.82,80.3,1006.69,4.7
26.9,84.9,26.84,80.19,1006.63,4.71
26.9,84.8,26.88,80.04,1006.67,4.76
26.9,84.6,26.85,80.17,1006.64,4.43
26.9,84.6,26.88,80.05,1006.7,4.55
27,84.5,26.9,79.96,1006.65,4.54
27,84.5,26.91,79.89,1006.66,4.61
27,84.4,26.92,79.84,1006.66,4.56
27,84.4,26.94,79.79,1006.7,4.61
27,84.3,26.94,79.76,1006.62,4.54
27,84.2,26.95,79.72,1006.64,4.48
27,84.2,26.96,79.68,1006.67,4.52
27,84.3,26.96,79.65,1006.65,4.65
27.1,84.1,26.99,79.54,1006.64,4.56
27.1,82.9,26.97,78.69,1006.53,4.21
26.9,83.7,26.74,79.14,1006.51,4.56
27.1,82.8,26.87,79.03,1006.44,3.77
27.1,82.5,26.86,78.79,1006.48,3.71
27.1,82.5,26.82,78.87,1006.43,3.63
27.1,82.2,26.75,78.79,1006.48,3.41
27.1,82.6,26.8,79.05,1006.45,3.55
27.1,82.3,26.81,78.81,1006.51,3.49
27.1,82.3,26.8,78.56,1006.45,3.74
27,82.1,26.75,78.66,1006.48,3.44
27,82.4,26.72,78.75,1006.51,3.65
27,82.6,26.69,78.92,1006.51,3.68
26.9,82.5,26.7,78.87,1006.54,3.63
27,82.2,26.53,78.7,1006.5,3.5
26.9,82.9,26.63,79.22,1006.53,3.68
26.9,82.7,26.65,79.13,1006.55,3.57
26.9,82.7,26.65,79.1,1006.54,3.6
26.9,83.1,26.59,79.44,1006.53,3.66
